,Word,Lemma,OccurTotal,OccurNum,Freq_pm,Rating.Mean,Rating.SD,Dunno
0,a,a,22,22,20415.274509803923,2.8933839999999993,1.21,1.0
1,aardvark,aardvark,18,18,0.4117647058823529,9.89,3.66,1.0
2,abacus,abacus,20,13,0.23529411764705882,8.69,3.77,0.65
3,abalone,abalone,18,13,0.5098039215686274,12.23,3.54,0.7222222222222222
4,abandon,abandon,19,19,8.098039215686274,8.32,2.75,1.0
5,abandoner,abandoner,19,18,0.0196078431372549,11.89,3.36,0.9473684210526315
6,abandonment,abandonment,22,22,0.9607843137254902,10.27,2.57,1.0
7,abase,abase,19,14,0.058823529411764705,14.57,4.29,0.7368421052631579
9,abate,abate,19,18,0.09803921568627451,14.44,3.57,0.9473684210526315
10,abatement,abatement,21,17,0.058823529411764705,15.12,2.78,0.8095238095238095
11,abattoir,abattoir,19,6,0.13725490196078433,15.17,2.71,0.3157894736842105
13,abbess,abbess,19,7,0.0392156862745098,15.43,2.37,0.3684210526315789
14,abbey,abbey,21,18,3.176470588235294,13.06,3.59,0.8571428571428571
15,abbot,abbot,20,15,0.8431372549019608,12.104381,4.7,0.75
16,abbreviate,abbreviate,19,19,0.0196078431372549,9.95,2.07,1.0
17,abbreviated,abbreviate,22,22,0.3137254901960784,10.5,1.79,1.0
18,abbreviation,abbreviation,18,18,0.23529411764705882,9.11,2.37,1.0
19,abdicate,abdicate,18,15,0.17647058823529413,12.6,3.18,0.8333333333333334
20,abdication,abdication,18,16,0.11764705882352941,14.94,3.59,0.8888888888888888
21,abdomen,abdoman,18,18,3.3529411764705883,8.61,2.25,1.0
22,abdominal,abdominal,18,17,3.411764705882353,10.24,3.6,0.9444444444444444
23,abduct,abduct,19,19,0.7058823529411765,11.26,4.03,1.0
24,abduction,abduction,18,18,3.627450980392157,11.94,3.99,1.0
25,abductor,abductor,18,18,0.35294117647058826,11.11,3.56,1.0
26,abeam,abeam,19,10,0.13725490196078433,13.4,2.88,0.5263157894736842
27,aberrant,aberrant,19,13,0.29411764705882354,13.31,3.5,0.6842105263157895
28,aberration,aberration,19,13,0.5490196078431373,12.69,3.33,0.6842105263157895
29,abet,abet,18,13,0.09803921568627451,12.15,3.31,0.7222222222222222
30,abettor,abettor,19,11,0.0196078431372549,15.55,2.98,0.5789473684210527
31,abeyance,abeyance,20,7,0.0392156862745098,15.0,2.58,0.35
32,abhor,abhor,20,17,0.23529411764705882,13.76,3.27,0.85
33,abhorrent,abhorrent,18,14,0.17647058823529413,12.14,4.24,0.7777777777777778
34,abide,abide,18,18,2.7058823529411766,9.5,3.11,1.0
35,abiding,abide,20,20,0.49019607843137253,10.3,4.01,1.0
36,ability,ability,19,19,19.215686274509803,8.84,3.22,1.0
37,abject,abject,18,16,0.39215686274509803,14.0,4.41,0.8888888888888888
39,abjure,abjure,19,10,0.0196078431372549,14.6,3.66,0.5263157894736842
40,ablation,ablation,18,7,0.0196078431372549,13.29,3.45,0.3888888888888889
41,ablaze,ablaze,19,18,0.4117647058823529,10.83,2.68,0.9473684210526315
42,able,able,19,19,159.90196078431373,7.79,3.31,1.0
43,ablution,ablution,19,11,0.058823529411764705,13.64,3.41,0.5789473684210527
44,abnormal,abnormal,19,19,2.9019607843137254,10.05,2.61,1.0
45,abnormality,abnormality,19,19,0.5098039215686274,11.58,3.34,1.0
46,aboard,aboard,20,20,26.627450980392158,8.66217,1.33,1.0
47,abode,abode,18,17,0.6470588235294118,12.06,2.93,0.9444444444444444
48,abolish,abolish,20,19,0.47058823529411764,10.42,2.57,0.95
49,abolition,abolition,18,18,0.19607843137254902,13.28,3.41,1.0
50,abolitionism,abolitionism,19,18,0.0196078431372549,11.78,3.17,0.9473684210526315
51,abolitionist,abolitionist,18,15,0.21568627450980393,12.6,3.5,0.8333333333333334
52,abominable,abominable,18,18,0.6274509803921569,8.94,3.04,1.0
53,abominate,abominate,19,17,0.058823529411764705,15.0,4.24,0.8947368421052632
54,abomination,abomination,18,18,1.1372549019607843,11.17,3.45,1.0
55,aboriginal,aboriginal,19,16,0.17647058823529413,14.75,4.25,0.8421052631578947
56,aborigine,aborigine,18,16,0.0784313725490196,12.56,4.18,0.8888888888888888
57,aborning,aborne,17,4,0.0196078431372549,13.25,3.77,0.23529411764705882
58,abort,abort,19,19,4.607843137254902,12.21,3.33,1.0
59,abortion,abortion,19,19,7.235294117647059,13.21,3.41,1.0
60,abortionist,abortionist,20,19,0.0784313725490196,15.0,3.28,0.95
61,abortive,abortive,18,14,0.0196078431372549,13.93,3.41,0.7777777777777778
62,abound,abound,20,20,0.35294117647058826,11.65,3.12,1.0
63,about,about,22,22,3631.4901960784314,5.070761000000001,1.75,1.0
64,above,above,21,21,48.88235294117647,4.548568000000001,2.0,1.0
65,aboveboard,aboveboard,20,17,0.27450980392156865,13.0,3.43,0.85
66,aboveground,aboveground,20,20,0.13725490196078433,8.05,2.37,1.0
67,abovementioned,abovementione,19,17,0.0196078431372549,14.24,2.73,0.8947368421052632
68,abracadabra,abracadabra,19,19,1.0392156862745099,6.89,3.43,1.0
69,abrade,abrade,18,8,0.0196078431372549,14.0,4.54,0.4444444444444444
70,abrasion,abrasion,20,19,0.35294117647058826,11.95,3.72,0.95
71,abrasive,abrasive,18,18,0.45098039215686275,12.22,4.02,1.0
72,abrasiveness,abrasiveness,18,18,0.0392156862745098,12.06,3.89,1.0
73,abreaction,abreaction,18,10,0.0196078431372549,15.8,4.34,0.5555555555555556
74,abreast,abreast,19,17,0.5098039215686274,13.06,2.77,0.8947368421052632
75,abridge,abridge,19,17,0.0196078431372549,14.35,3.02,0.8947368421052632
76,abridged,abridge,18,16,0.17647058823529413,12.56,2.66,0.8888888888888888
77,abridgement,abridgement,20,17,0.0196078431372549,12.317521,3.54,0.85
78,abroad,abroad,22,22,4.901960784313726,10.15415,3.2,1.0
79,abrogate,abrogate,19,9,0.0196078431372549,15.22,2.99,0.47368421052631576
80,abrupt,abrupt,22,22,1.1372549019607843,10.95,3.47,1.0
81,abruption,abruption,18,17,0.11764705882352941,11.82,2.72,0.9444444444444444
82,abruptness,abruptness,18,18,0.0784313725490196,12.39,3.09,1.0
83,abscess,abscess,20,18,0.49019607843137253,13.11,3.94,0.9
84,abscond,abscond,19,14,0.09803921568627451,13.36,1.86,0.7368421052631579
85,absconder,absconder,19,13,0.0196078431372549,16.62,3.75,0.6842105263157895
86,absence,absence,20,20,6.313725490196078,7.7,2.2,1.0
87,absent,absent,18,18,2.5686274509803924,6.5,2.18,1.0
88,absentee,absentee,18,17,0.35294117647058826,11.0,3.61,0.9444444444444444
89,absenteeism,absenteeism,18,14,0.09803921568627451,13.43,3.61,0.7777777777777778
90,absentminded,absentminde,19,19,0.058823529411764705,10.84,3.11,1.0
91,absentmindedness,absentmindedness,18,18,0.0196078431372549,9.61,3.09,1.0
92,absinthe,absinthe,19,17,0.5490196078431373,16.29,3.26,0.8947368421052632
93,absolute,absolute,19,19,11.313725490196079,8.53,3.44,1.0
94,absolutely,absolutely,21,21,113.11764705882354,7.084934000000001,2.58,1.0
95,absoluteness,absoluteness,20,19,0.0196078431372549,12.68,3.65,0.95
96,absolution,absolution,18,17,0.9411764705882353,11.71,3.14,0.9444444444444444
97,absolve,absolve,20,20,0.5686274509803921,12.9,3.02,1.0
98,absolver,absolver,18,15,0.0784313725490196,13.6,5.05,0.8333333333333334
99,absorb,absorb,18,18,1.9803921568627452,8.83,2.33,1.0
100,absorbent,absorbent,19,19,0.1568627450980392,10.32,2.75,1.0
101,absorber,absorber,18,18,0.058823529411764705,10.33,3.27,1.0
102,absorption,absorption,19,18,0.35294117647058826,10.94,2.6,0.9473684210526315
103,abstain,abstain,19,19,0.5098039215686274,12.95,3.27,1.0
104,abstention,abstention,21,16,0.11764705882352941,15.19,3.82,0.7619047619047619
105,abstinence,abstinence,19,19,0.8823529411764706,12.74,2.66,1.0
106,abstract,abstract,19,19,2.176470588235294,11.47,3.58,1.0
107,abstraction,abstraction,18,17,0.29411764705882354,13.65,3.52,0.9444444444444444
108,abstractionist,abstractionist,19,18,0.0196078431372549,14.72,3.82,0.9473684210526315
109,abstruse,abstruse,20,10,0.058823529411764705,14.6,3.34,0.5
110,absurd,absurd,1917,1901,9.705882352941176,10.5,3.1,0.9916536254564423
111,absurdist,absurdist,21,12,0.0196078431372549,13.0,3.22,0.5714285714285714
112,absurdity,absurdity,19,19,0.6274509803921569,13.21,2.39,1.0
113,abundance,abundance,20,20,0.8823529411764706,10.45,2.16,1.0
114,abundant,abundant,19,19,0.5686274509803921,12.84,2.57,1.0
115,abuse,abuse,18,18,10.254901960784315,8.61,2.73,1.0
116,abuser,abuser,18,18,0.3137254901960784,9.94,3.75,1.0
117,abusive,abusive,19,19,1.6274509803921569,9.58,2.48,1.0
