,1789_Washington_Inaugural_Address,1793_Washington_Inaugural_Address,1801_Jefferson_Inaugural_Address,1805_Jefferson_Inaugural_Address,1809_Madison_Inaugural_Address,1813_Madison_Inaugural_Address,1817_Monroe_Inaugural_Address,1821_Monroe_Inaugural_Address,1825_Adams_Inaugural_Address,1829_Jackson_Inaugural_Address
date,1789-04-30,1793-03-04,1801-03-04,1805-03-04,1809-03-04,1813-03-04,1817-03-04,1821-03-04,1825-03-04,1829-03-04
pres_name,George Washington,George Washington,Thomas Jefferson,Thomas Jefferson,James Madison,James Madison,James Monroe,James Monroe,John Quincy Adams,Andrew Jackson
byline,1st President of the United States: 1789 ‐ 1797,1st President of the United States: 1789 ‐ 1797,3rd President of the United States: 1801 ‐ 1809,3rd President of the United States: 1801 ‐ 1809,4th President of the United States: 1809 ‐ 1817,4th President of the United States: 1809 ‐ 1817,5th President of the United States: 1817 ‐ 1825,5th President of the United States: 1817 ‐ 1825,6th President of the United States: 1825 ‐ 1829,7th President of the United States: 1829 ‐ 1837
title,Inaugural Address,Inaugural Address,Inaugural Address,Inaugural Address,Inaugural Address,Inaugural Address,Inaugural Address,Inaugural Address,Inaugural Address,Inaugural Address
num_tokens,1546,147,1938,2390,1266,1305,3699,4911,3156,1214
num_sentences,23,4,41,45,21,33,123,131,76,25
avg_tree_edit_dist_adjacent,138.22727272727272,79.0,110.225,113.06818181818181,138.95,75.28125,59.86065573770492,75.00769230769231,78.65333333333334,94.625
avg_node_depth,12.68111254851229,9.061224489795919,12.248194014447884,9.795397489539749,15.44391785150079,8.917241379310346,8.083265747499324,8.590918346568927,9.365019011406844,9.509884678747941
max_node_depth,50,23,64,31,80,26,28,36,37,25
avg_node_clause_depth,2.4573091849935316,1.6598639455782314,1.826625386996904,2.0510460251046023,2.221169036334913,1.767816091954023,1.7201946472019465,1.7318265119120342,1.6536755386565272,1.9621087314662273
max_node_clause_depth,8,4,6,6,9,5,6,6,4,5
avg_clause_length,55.31944444444444,30.8,40.84,45.280155642023345,64.78888888888889,40.62608695652174,32.24935732647815,36.5375,48.093333333333334,39.93805309734513
clauses_per_sent,6.260869565217392,3.75,4.2682926829268295,5.711111111111111,4.285714285714286,3.484848484848485,3.16260162601626,3.66412213740458,2.960526315789474,4.52
sbars_per_sent,3.3043478260869565,2.25,1.9024390243902438,2.3333333333333335,1.5714285714285714,1.121212121212121,1.024390243902439,1.4045801526717556,1.0263157894736843,1.96
pronouns_per_sent,4.695652173913044,3.25,3.5365853658536586,4.7555555555555555,3.5714285714285716,2.8181818181818183,2.138211382113821,2.3587786259541983,2.026315789473684,3.76
pronouns_per_clause,0.75,0.8666666666666667,0.8285714285714286,0.8326848249027238,0.8333333333333334,0.808695652173913,0.6760925449871465,0.64375,0.6844444444444444,0.831858407079646
pronoun_prop_of_leaf_nps,0.31486880466472306,0.35135135135135137,0.31385281385281383,0.3715277777777778,0.2697841726618705,0.3152542372881356,0.3207317073170732,0.2781278127812781,0.2,0.3443223443223443
avg_num_np_modifiers,5.101851851851852,4.111111111111111,7.4387895460797795,3.630434782608696,7.329670329670329,3.616252821670429,3.2985581000848176,3.7075413856529735,4.283458021612635,4.310185185185185
parataxis_per_sent_strict,0.0,0.0,0.0975609756097561,0.6,0.3333333333333333,0.0,0.0975609756097561,0.15267175572519084,0.3157894736842105,0.0
parataxis_per_sent_loose,0.6521739130434783,0.0,0.4634146341463415,1.3555555555555556,0.5714285714285714,0.5151515151515151,0.5203252032520326,0.5572519083969466,0.4473684210526316,0.28
num_unk,2,0,0,0,1,0,0,0,2,2
num_words,1434,135,1732,2168,1177,1211,3380,4479,2917,1128
avg_dependency_distance,3.5564853556485354,3.066666666666667,3.712471131639723,3.1983394833948338,3.602378929481733,2.7489677952105698,2.6928994082840236,2.981245813797723,2.9187521426122727,2.905141843971631
avg_sentence_length_by_tok,67.21739130434783,36.75,47.26829268292683,53.111111111111114,60.285714285714285,39.54545454545455,30.073170731707318,37.48854961832061,41.526315789473685,48.56
avg_sentence_length_by_word,62.34782608695652,33.75,42.24390243902439,48.17777777777778,56.04761904761905,36.696969696969695,27.479674796747968,34.19083969465649,38.38157894736842,45.12
avg_words_before_root,13.478260869565217,16.5,10.585365853658537,17.4,30.761904761904763,7.242424242424242,7.975609756097561,11.251908396946565,15.855263157894736,15.56
num_uniq_words,593,90,676,776,521,516,973,1184,948,499
proportion_uniq,0.4158485273492286,0.6666666666666666,0.3930232558139535,0.358264081255771,0.44265080713678845,0.4267990074441687,0.28855278766310793,0.2660674157303371,0.32768752160387143,0.4427684117125111
stop_words_per_clause,5.923611111111111,5.266666666666667,5.765714285714286,4.926070038910506,7.766666666666667,6.173913043478261,5.120822622107969,5.55625,7.44,5.646017699115045
stop_words_per_sentence,37.08695652173913,19.75,24.609756097560975,28.133333333333333,33.285714285714285,21.515151515151516,16.195121951219512,20.358778625954198,22.026315789473685,25.52
constituency_analysis_time,0.00411069999972824,0.0021789000020362437,0.0008413000032305717,0.003671999991638586,0.002961999998660758,0.0018319000082556158,0.0018198999896412715,0.0013826999929733574,0.0023944999993545935,0.0017757999885361642
dependency_analysis_time,0.0005875000060768798,0.0001303000026382506,0.00011350000568199903,0.0006033999961800873,0.00029329999233596027,0.00024929999199230224,0.00023520000104326755,0.0002142000012099743,0.0006227000121725723,0.00023540000256616622
tree_edit_distance_time,6.042632600001525,0.1706576999858953,5.859866600003443,6.65927869999723,4.491529599996284,2.5403355000016745,6.0504529000027105,9.413011600001482,9.874630699996487,2.79888079999364
total_file_analysis_time,8.702260399993975,0.8325062999938382,9.691248799994355,10.752956099997391,7.603832100008731,4.456178600012208,10.444268399995053,14.748643199985963,14.965438399987761,4.287901999996393
